lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,26907.213629573114,50069.7906649738,0.22287168409794633
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30755.33515033144,55720.74679179173,0.28407028885424124
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,27151.067596398465,55074.101116828635,0.2382131025252914
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24881.08375887784,41305.41388044881,0.26623933101710334
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,23259.050984156667,42503.58550733769,0.22367032210891935
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146991.2223705685,231572.9141766537,0.9887868553482541
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,147053.42531696009,231776.053446278,0.9886327375101713
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146991.23800551906,231573.6843377248,0.9887276720646663
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,147055.59901711892,231777.44354568623,0.9886826050219014
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146992.0844502397,231573.55547269256,0.988821796618733
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,147053.58265695305,231776.1640723223,0.9886359972948429
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22992.517476325756,43351.574524235715,0.1963674833568888
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,27480.090286347586,45504.35330841228,0.35534904661908173
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,32001.665052083332,58160.89877888503,0.32513607808580447
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,33461.8009598316,69441.16987650316,0.304635780827516
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24539.529208688447,42187.96998982811,0.2550597901232095
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27276.533064294123,43970.56915997693,0.36820447082931224
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23041.894568536933,40293.35757409756,0.20200211977622703
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22337.63354877829,41102.1075948754,0.21009783384604241
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,32537.821139914773,61162.178357765275,0.2870976111580098
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,43371.19466462257,91931.12498649656,0.5124121706065221
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24909.265553385416,41203.09334028337,0.25971298635464396
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26009.287007921666,45332.92443736397,0.2488410048582929
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,142025.94410452177,228437.28203819925,0.8749249632843602
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,142039.2341661604,228622.31987418677,0.8728106395978452
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,141996.16599905302,228430.69651211644,0.8734939324910587
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,142043.9395160142,228625.4768523643,0.8729018668631028
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,142028.55232481062,228440.51277224408,0.8748715274273575
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,142038.70996390397,228622.13625611152,0.8727964998391556
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,30217.56994140625,45976.90282924854,0.3580387765100577
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,45439.153774182676,83225.2873605914,0.5011704079061008
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30334.561035748105,48015.12025355303,0.319929397394555
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,37546.98663070512,85554.47244721663,0.3365482856383185
