bi_lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,19791.777352649417,33870.4587864887,0.20761940651756938
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,23640.450927438447,41095.814827350914,0.21876577166317324
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,31975.064725447108,49964.2016186757,0.37820040391805454
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145607.29829841384,230697.7081534321,0.9561177386202494
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145676.58196672925,230904.96025008638,0.9561379534671808
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145613.47139322918,230701.6044177232,0.9562631959136562
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145681.6617710489,230908.16510260594,0.956257836342013
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145607.92671623462,230698.10478663055,0.9561325460850827
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145676.38503765047,230904.83600894074,0.9561333060117123
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,21962.26369732481,36667.34117027927,0.23674865116438804
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22373.639984835398,37841.164929375824,0.2115181598722209
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,22755.151686197918,39735.075612297755,0.2298253504954347
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,25211.115960567284,38429.4542256184,0.31059850566898023
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25503.165756392045,43070.509188564494,0.2516803104457432
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,32481.667971123177,48315.250093135386,0.4181612278256253
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23325.32207149621,38116.838304221885,0.22284750068439665
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22890.719446527568,39197.48281671156,0.2074588992642802
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,25739.14834478205,40374.23937343856,0.2959763476832197
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20620.89887913348,34583.814239337305,0.22232562429492195
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,22522.278576586174,39455.94913626891,0.2155805082906919
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27213.90663445474,42787.29102474362,0.33907261586918813
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146525.92537494082,231278.6069572976,0.9777634560841024
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146593.76211329075,231484.6976045785,0.9777833045647439
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146529.95125162762,231281.15756267137,0.9778583181480258
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146596.90334819735,231486.6868870837,0.9778574373263639
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146526.39205277877,231278.90261830995,0.9777744527468643
1,0,100,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146593.73904155672,231484.68299406345,0.9777827600361969
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,21394.54796401515,37443.98861980597,0.21786294606939677
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,23805.023280276997,42309.942168581736,0.20481602240353405
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,24042.63200106534,41689.74790229851,0.23731140978501827
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,22689.562850043665,36641.29317171863,0.26717828784477554
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,22764.598784327653,37320.28148634245,0.2669446516539387
1,0,100,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26148.389013612545,41979.836251450215,0.30524638999800857
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,24217.13869762074,40159.445828211945,0.20861211830307666
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23073.458251656477,42377.066607719906,0.21365730435023925
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,24142.376676136362,43109.732115119,0.23539695303183528
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,22526.33700424324,37306.31570255393,0.26439119777729064
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,23516.025468158143,35940.23915994407,0.26132194608686765
1,0,100,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26689.43171122703,42181.95802897192,0.33115894121279854
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,136804.7060369318,225069.04808556684,0.7841290215710959
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,136888.22538777717,225285.61611922365,0.784024972806749
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,136817.13193655302,225077.69635708202,0.7842427493229168
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,136887.35475086383,225288.75215200605,0.7838162782012703
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,136805.5026751894,225069.60250728458,0.7841363132335245
1,0,150,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,136846.01146956638,225282.91774288044,0.7785372966486815
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,25508.453298413824,39266.865227443544,0.3540819247045498
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,32791.62891396283,45648.38541063019,0.5619239477667848
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,19797.135906723484,35192.26699854348,0.18558325658624095
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,21409.54030070531,37740.940381991655,0.21145397219230674
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,29641.02568477746,48434.74325227808,0.37157168947782765
1,0,150,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,41757.41321705555,55605.239486199396,0.6511934969292815
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,29882.145741632634,45675.07512422553,0.33768759275442994
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,25731.605401114444,39661.721563602274,0.31606483410538694
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23607.993699692233,38224.96548440323,0.2794511016533401
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,21287.995541986256,38129.438390991025,0.19506062079122943
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27218.037708333333,45006.54323457252,0.3495693210329238
1,0,150,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,31843.939130817846,47710.84549917243,0.3897838248827775
