data,estados,consumo
201110,AM,98275.0
201111,AM,81922.0
201112,AM,86757.0
201201,AM,81889.0
201202,AM,78002.0
201203,AM,81959.0
201204,AM,61107.0
201205,AM,97398.0
201206,AM,70266.0
201207,AM,97903.0
201208,AM,84966.0
201209,AM,95924.0
201210,AM,87178.0
201211,AM,79674.0
201212,AM,78666.0
201301,AM,77124.0
201302,AM,62791.0
201303,AM,109019.0
201304,AM,77024.0
201305,AM,76369.0
201306,AM,115120.0
201307,AM,97534.0
201308,AM,75820.0
201309,AM,63070.0
201310,AM,116893.0
201311,AM,101635.0
201312,AM,64207.0
201401,AM,63088.0
201402,AM,80430.0
201403,AM,81788.0
201404,AM,72995.0
201405,AM,46056.0
201406,AM,96525.0
201407,AM,58639.0
201408,AM,96194.0
201409,AM,59788.0
201410,AM,94092.0
201411,AM,53720.0
201412,AM,57359.0
201501,AM,52653.0
201502,AM,99260.0
201503,AM,42052.0
201504,AM,97889.0
201505,AM,56390.0
201506,AM,56425.0
201507,AM,53669.0
201508,AM,76548.0
201509,AM,59783.0
201510,AM,80269.0
201511,AM,60089.0
201512,AM,68085.0
201601,AM,10150.0
201602,AM,13800.0
201603,AM,10761.0
201604,AM,12340.0
201605,AM,12832.0
201606,AM,13952.0
201607,AM,14225.0
201608,AM,16078.0
201609,AM,14524.0
201610,AM,14342.0
201611,AM,14289.0
201612,AM,11401.0
201701,AM,61287.0
201702,AM,44068.0
201703,AM,62847.0
201704,AM,30374.0
201705,AM,60003.0
201706,AM,81014.0
201707,AM,64862.0
201708,AM,49885.0
201709,AM,53130.0
201710,AM,57796.0
201711,AM,47026.0
201712,AM,74919.0
201801,AM,34733.0
201802,AM,15022.0
201803,AM,20879.0
201804,AM,36409.0
201805,AM,22277.0
201806,AM,20529.0
201807,AM,37061.0
201808,AM,23387.0
201809,AM,38399.0
201810,AM,39652.0
201811,AM,40204.0
201812,AM,21625.0
201901,AM,42731.0
201902,AM,36026.0
201903,AM,34609.0
201904,AM,40787.0
201905,AM,39823.0
201906,AM,39957.0
201907,AM,52048.0
201908,AM,53567.0
201909,AM,46239.0
201910,AM,51066.0
201911,AM,51684.0
201912,AM,44907.0
199001,AP,275
199002,AP,1000
199003,AP,1100
199004,AP,1000
199005,AP,2015
199006,AP,2470
199007,AP,2955
199008,AP,2050
199009,AP,2950
199010,AP,2930
199011,AP,2049
