estados,data,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego
PB,199104,15192423.6991009,192.541477515,0.4285267426295454,3201324.0,1167818.2952562375,24.53,3.13,8.74,0.2182632105,0.679,0.515,0.298,11.17,4782146.58522158,5.5730865914
PE,199104,47680099.12576741,640.2722239166667,0.6038108092931819,7127956.0,3908706.5654063025,24.53,3.13,8.74,0.2182632105,0.64,0.644,0.194,11.17,4782146.58522158,8.2645197051
PI,199104,9961475.475017434,103.16393296666668,0.34767077927878787,2582075.0,391608.7369143682,24.53,3.13,8.74,0.2182632105,0.617,0.567,0.242,11.17,4782146.58522158,4.4859060351
PR,199104,100888374.22171776,1373.9069400833334,1.08029644647803,8448620.0,9972498.063035958,24.53,3.13,8.74,0.2182632105,0.595,0.569,0.164,11.17,4782146.58522158,6.0546558145
RJ,199104,255198528.9371926,2686.2473296666662,1.8006512581272724,12807197.0,13375134.169659356,24.53,3.13,8.74,0.2182632105,0.69,0.488,0.392,11.17,4782146.58522158,7.1656731871
RN,199104,10264646.150502676,173.6093700383333,0.3819436575083333,2415077.0,1353220.6065913783,24.53,3.13,8.74,0.2182632105,0.591,0.696,0.242,11.17,4782146.58522158,8.1963422525
RO,199104,8253105.062089666,101.22789734499999,0.6440247445045455,1133265.0,863163.5936109605,24.53,3.13,8.74,0.2182632105,0.729,0.547,0.328,11.17,4782146.58522158,7.4314122991
RR,199104,2333472.354049604,22.77059789666667,0.944482169498485,217583.0,105187.32555722108,24.53,3.13,8.74,0.2182632105,0.635,0.667,0.181,11.17,4782146.58522158,6.6986022912
RS,199104,124497852.83320633,1792.9820245499998,1.2289744831643938,9138463.0,7533904.501020122,24.53,3.13,8.74,0.2182632105,0.628,0.585,0.24,11.17,4782146.58522158,5.1546450091
SC,199104,72958991.86106959,813.9679662166667,1.4455530533007575,4542048.0,2477722.487537305,24.53,3.13,8.74,0.2182632105,0.753,0.643,0.329,11.17,4782146.58522158,4.2607275367
SE,199104,11733538.449009925,140.59849240333335,0.7066022182992423,1491878.0,1047504.1329744193,24.53,3.13,8.74,0.2182632105,0.73,0.648,0.363,11.17,4782146.58522158,7.4379297202
SP,199104,667384277.1552179,8163.0402205,1.9009029733780303,31588794.0,34797764.31759619,24.53,3.13,8.74,0.2182632105,0.581,0.729,0.211,11.17,4782146.58522158,8.8106222392
TO,199104,6401077.863488651,39.55370583333333,0.6263552157295454,918400.0,2416.0652932959333,24.53,3.13,8.74,0.2182632105,0.589,0.552,0.155,11.17,4782146.58522158,6.1001752559
AC,199105,3340615.8403879846,36.267296379166666,0.7153457670856059,417102.0,189990.6266426615,31.63,4.86,6.53,0.2520151818,0.645,0.647,0.176,11.17,4782146.58522158,9.2163144702
AL,199105,14326960.072848598,190.5680030575,0.5117570939515153,2512658.0,956716.1819692922,31.63,4.86,6.53,0.2520151818,0.552,0.574,0.174,11.17,4782146.58522158,8.9808491103
AM,199105,14851804.88950704,460.9871881916667,0.630298313569697,2102766.0,1771972.4040489844,31.63,4.86,6.53,0.2520151818,0.668,0.527,0.254,11.17,4782146.58522158,11.5557304923
AP,199105,2603394.978086149,43.1486180825,0.7993706225696969,289035.0,74605.9405605707,31.63,4.86,6.53,0.2520151818,0.645,0.62,0.204,11.17,4782146.58522158,5.9229397628
BA,199105,64891719.78744587,1186.8840716416667,0.49124156259469687,11867336.0,5965672.282389562,31.63,4.86,6.53,0.2520151818,0.582,0.605,0.182,11.17,4782146.58522158,8.2114353503
CE,199105,30479714.339615025,477.02767314999994,0.43091699891136365,6366132.0,3355807.458036063,31.63,4.86,6.53,0.2520151818,0.613,0.543,0.204,11.17,4782146.58522158,5.7108578194
DF,199105,68518796.64448094,573.8752445666667,3.8316370269969697,1601093.0,1652256.5458637935,31.63,4.86,6.53,0.2520151818,0.731,0.532,0.419,11.17,4782146.58522158,8.4169350178
ES,199105,32981492.19199862,444.5920015416666,1.1380145288393935,2600619.0,2598691.2703811834,31.63,4.86,6.53,0.2520151818,0.686,0.762,0.304,11.17,4782146.58522158,7.2961765187
GO,199105,41676888.93043714,496.70561565,0.9306422390818184,4017506.0,2322886.0560006127,31.63,4.86,6.53,0.2520151818,0.668,0.619,0.273,11.17,4782146.58522158,6.6636499637
MA,199105,21089613.67599319,217.24476302583332,0.3846034545878787,4929676.0,757996.6869345158,31.63,4.86,6.53,0.2520151818,0.551,0.633,0.173,11.17,4782146.58522158,3.3580371244
MG,199105,182476357.36623144,2539.3690315833333,1.044559392261364,15743536.0,15096510.182415336,31.63,4.86,6.53,0.2520151818,0.699,0.478,0.259,11.17,4782146.58522158,7.2408620601
