estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg
SC,2015-09-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.22,7.64,1.42,0.052531,0.86,0.773,0.77,1.34,7751228.17009106,9.0,-999.0,130.55307695683337,25.5,0.51
SC,2015-10-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.36,8.52,1.76,0.052531,0.86,0.773,0.77,1.45,7751228.17009106,9.1,-999.0,134.0158487240881,26.0,0.52
SC,2015-11-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.34,9.62,1.19,0.052531,0.86,0.773,0.77,1.49,7751228.17009106,9.1,-999.0,137.69509011084455,26.0,0.52
SC,2015-12-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.1,10.67,0.44,0.052531,0.86,0.773,0.77,1.49,7751228.17009106,9.1,-999.0,134.3274819468092,26.0,0.52
SC,2016-01-01,11520050.291831583,18159424.501442917,1.6671519946583333,8018050.23668197,6910553.0,0.39,1.27,1.53,0.052531,0.86,0.77,0.78,1.55,7806241.86849827,9.6,-999.0,128.32060409392082,26.0,0.52
SC,2016-02-01,11520050.291831583,18159424.501442917,1.6671519946583333,8018050.23668197,6910553.0,0.54,2.18,0.79,0.052531,0.86,0.77,0.78,1.67,7806241.86849827,10.3,-999.0,130.8590205970509,26.0,0.52
SC,2016-03-01,11520050.291831583,18159424.501442917,1.6671519946583333,8018050.23668197,6910553.0,0.64,2.62,0.43,0.052531,0.86,0.77,0.78,1.67,7806241.86849827,11.1,-999.0,140.60785752679595,26.039999999999996,0.5207999999999999
SC,2016-04-01,11520050.291831583,18159424.501442917,1.6671519946583333,8018050.23668197,6910553.0,0.55,3.25,0.36,0.052531,0.86,0.77,0.78,1.63,7806241.86849827,11.3,-999.0,144.81840910078813,25.82,0.5164
SC,2016-05-01,11520050.291831583,18159424.501442917,1.6671519946583333,8018050.23668197,6910553.0,0.08,4.05,1.13,0.052531,0.86,0.77,0.78,1.62,7806241.86849827,11.3,-999.0,143.98366097052005,25.480000000000004,0.5096
SC,2016-06-01,11520050.291831583,18159424.501442917,1.6671519946583333,8018050.23668197,6910553.0,1.93,4.42,1.63,0.052531,0.86,0.77,0.78,1.64,7806241.86849827,11.4,-999.0,148.81103287163936,25.480000000000004,0.5096
