estados,data,consumo
MG,1992-06-01,230228.0
ES,1992-06-01,44117.0
RJ,1992-06-01,203607.0
SP,1992-06-01,624456.0
PR,1992-06-01,135245.0
SC,1992-06-01,96407.0
RS,1992-06-01,112479.0
MT,1992-06-01,24669.0
MS,1992-06-01,25250.0
GO,1992-06-01,59744.0
DF,1992-06-01,48256.0
RO,1992-07-01,8669.0
AC,1992-07-01,1577.0
AM,1992-07-01,20205.0
RR,1992-07-01,3106.0
PA,1992-07-01,32890.0
AP,1992-07-01,6455.0
TO,1992-07-01,8103.0
MA,1992-07-01,25468.0
PI,1992-07-01,8403.0
CE,1992-07-01,54783.0
RN,1992-07-01,16022.0
PB,1992-07-01,22246.0
PE,1992-07-01,62470.0
AL,1992-07-01,19658.0
SE,1992-07-01,21402.0
BA,1992-07-01,86094.0
MG,1992-07-01,264895.0
ES,1992-07-01,47946.0
RJ,1992-07-01,231780.0
SP,1992-07-01,669060.0
PR,1992-07-01,148054.0
SC,1992-07-01,97684.0
RS,1992-07-01,134056.0
MT,1992-07-01,31689.0
MS,1992-07-01,28110.0
GO,1992-07-01,74176.0
DF,1992-07-01,57013.0
RO,1992-08-01,8086.0
AC,1992-08-01,1596.0
AM,1992-08-01,15430.0
RR,1992-08-01,3226.0
PA,1992-08-01,29719.0
AP,1992-08-01,4306.0
TO,1992-08-01,8645.0
MA,1992-08-01,24575.0
PI,1992-08-01,9000.0
CE,1992-08-01,57706.0
RN,1992-08-01,17160.0
PB,1992-08-01,25871.0
PE,1992-08-01,71096.0
AL,1992-08-01,19655.0
SE,1992-08-01,21492.0
BA,1992-08-01,90426.0
MG,1992-08-01,260761.0
ES,1992-08-01,51646.0
RJ,1992-08-01,238018.0
SP,1992-08-01,667813.0
PR,1992-08-01,149144.0
SC,1992-08-01,100096.0
RS,1992-08-01,121029.0
MT,1992-08-01,26173.0
MS,1992-08-01,27646.0
GO,1992-08-01,74282.0
DF,1992-08-01,56653.0
RO,1992-09-01,8658.0
AC,1992-09-01,1916.0
AM,1992-09-01,19987.0
RR,1992-09-01,2852.0
PA,1992-09-01,31783.0
AP,1992-09-01,5185.0
TO,1992-09-01,9131.0
MA,1992-09-01,20072.0
PI,1992-09-01,7445.0
CE,1992-09-01,57783.0
RN,1992-09-01,15766.0
PB,1992-09-01,24794.0
PE,1992-09-01,65527.0
AL,1992-09-01,20255.0
SE,1992-09-01,23820.0
BA,1992-09-01,89117.0
MG,1992-09-01,244158.0
ES,1992-09-01,44872.0
RJ,1992-09-01,234479.0
SP,1992-09-01,638526.0
PR,1992-09-01,139200.0
SC,1992-09-01,98873.0
RS,1992-09-01,124907.0
MT,1992-09-01,30622.0
MS,1992-09-01,22003.0
GO,1992-09-01,70879.0
DF,1992-09-01,58663.0
RO,1992-10-01,7478.0
AC,1992-10-01,2240.0
AM,1992-10-01,19554.0
RR,1992-10-01,400.0
PA,1992-10-01,30565.0
AP,1992-10-01,6440.0
TO,1992-10-01,8706.0
MA,1992-10-01,18139.0
PI,1992-10-01,6714.0
CE,1992-10-01,56371.0
RN,1992-10-01,14356.0
PB,1992-10-01,26125.0
PE,1992-10-01,67649.0
AL,1992-10-01,19652.0
SE,1992-10-01,22596.0
BA,1992-10-01,100528.0
MG,1992-10-01,214725.0
ES,1992-10-01,39197.0
RJ,1992-10-01,224961.0
SP,1992-10-01,604419.0
PR,1992-10-01,146621.0
SC,1992-10-01,103047.0
RS,1992-10-01,129158.0
MT,1992-10-01,24870.0
MS,1992-10-01,26189.0
GO,1992-10-01,65001.0
DF,1992-10-01,55412.0
RO,1992-11-01,7534.0
AC,1992-11-01,685.0
AM,1992-11-01,24718.0
RR,1992-11-01,70.0
PA,1992-11-01,36208.0
AP,1992-11-01,5384.0
TO,1992-11-01,8510.0
MA,1992-11-01,20328.0
PI,1992-11-01,6948.0
CE,1992-11-01,63780.0
RN,1992-11-01,15723.0
PB,1992-11-01,26238.0
