estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque
AC,1990-06-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,7.42,645.88,9.02,0.41944995,,,,,4664396.41862331
AC,1990-07-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,16.67,742.25,12.98,0.5890909091,,,,,4664396.41862331
AC,1990-08-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,13.11,850.73,12.93,0.4754927391,,,,,4664396.41862331
AC,1990-09-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,10.87,987.73,11.71,0.7482104737,,,,,4664396.41862331
AC,1990-10-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,11.48,1143.92,14.16,0.7295715714,,,,,4664396.41862331
AC,1990-11-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,13.05,1353.03,17.45,0.90865005,,,,,4664396.41862331
AC,1990-12-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,17.51,1620.97,16.46,1.03461665,,,,,4664396.41862331
AC,1991-01-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,17.03,20.75,19.93,0.8710757273,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-02-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,15.5,45.77,21.11,0.3904118235,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-03-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,8.33,63.15,7.25,0.4542281053,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-04-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,6.77,71.29,8.74,0.4203181818,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-05-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,13.19,84.02,6.53,0.4355714286,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-06-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,10.18,104.61,9.86,0.4923834,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-07-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,13.61,130.0,12.83,0.509028913,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-08-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,14.63,165.95,15.49,0.6670302727,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-09-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,21.11,207.52,16.19,0.8632857619,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-10-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,23.01,269.73,25.85,1.00826087,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-11-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,29.47,362.94,25.76,1.4142999,0.645,0.574,0.176,11.17,4782146.58522158
AC,1991-12-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,19.71,472.7,22.14,1.30058719,0.645,0.574,0.176,9.77,4782146.58522158
AC,1992-01-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,29.87,25.94,26.84,1.166181864,0.645,0.574,0.176,10.96,4879149.90415669
AC,1992-02-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,23.63,56.57,24.79,1.27180005,0.645,0.574,0.176,12.06,4879149.90415669
AC,1992-03-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,27.77,90.08,20.7,1.19658335,0.645,0.574,0.176,12.94,4879149.90415669
AC,1992-04-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,17.42,127.96,18.54,1.135298263,0.645,0.574,0.176,13.35,4879149.90415669
AC,1992-05-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,28.22,184.63,22.45,1.0402834,0.645,0.574,0.176,13.56,4879149.90415669
AC,1992-06-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,18.03,242.15,21.42,1.040460286,0.645,0.574,0.176,13.68,4879149.90415669
AC,1992-07-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,23.53,316.84,21.69,1.017275304,0.645,0.574,0.176,14.09,4879149.90415669
AC,1992-08-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,17.28,409.13,25.54,1.093031714,0.645,0.574,0.176,14.52,4879149.90415669
AC,1992-09-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,34.3,534.53,27.37,1.169587333,0.645,0.574,0.176,15.03,4879149.90415669
AC,1992-10-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,18.91,694.69,24.94,1.189126952,0.645,0.574,0.176,15.53,4879149.90415669
AC,1992-11-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,29.16,873.41,24.22,1.1785,0.645,0.574,0.176,15.8,4879149.90415669
AC,1992-12-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,18.84,1119.1,23.7,1.053000091,0.645,0.574,0.176,16.9,4879149.90415669
AC,1993-01-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,36.9,30.35,28.73,1.26231665,0.645,0.574,0.176,17.6,4984414.32371892
AC,1993-02-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,22.59,62.91,26.51,1.420536944,0.645,0.574,0.176,18.63,4984414.32371892
AC,1993-03-01,332813.23059151915,1675.4694075,0.7159952984416668,318268.775511452,437495.0,32.61,107.32,27.81,1.09134787,0.645,0.574,0.176,19.85,4984414.32371892
