data,estados,consumo
199105,SP,7359218.0
199106,TO,91018.0
199107,AC,16999.0
199108,AL,241325.0
199109,AM,210627.0
199110,AP,58302.0
199111,BA,1094121.0
199112,CE,622683.0
199201,DF,620516.0
199202,ES,514430.0
199203,GO,766103.0
199204,MA,238634.0
199205,MG,2764977.0
199206,MS,289594.0
199207,MT,306592.0
199208,PA,363407.0
199209,PB,293197.0
199210,PE,754546.0
199211,PI,89797.0
199212,PR,1733022.0
199301,RJ,2592511.0
199302,RN,181425.0
199303,RO,92844.0
199304,RR,15912.0
199305,RS,1470345.0
199306,SC,1096610.0
199307,SE,241482.0
199308,SP,7394603.0
199309,TO,93212.0
199310,AC,17901.0
199311,AL,243160.0
199312,AM,214555.0
199401,AP,59663.0
199402,BA,1104246.0
199403,CE,620662.0
199404,DF,637549.0
199405,ES,508252.0
199406,GO,775714.0
199407,MA,236533.0
199408,MG,2762324.0
199409,MS,292556.0
199410,MT,306747.0
199411,PA,370732.0
199412,PB,295504.0
199501,PE,765558.0
199502,PI,95660.0
199503,PR,1793843.0
199504,RJ,2606098.0
199505,RN,179632.0
199506,RO,95278.0
199507,RR,17054.0
199508,RS,1476869.0
199509,SC,1100194.0
199510,SE,242698.0
199511,SP,7375844.0
199512,TO,93455.0
199601,AC,16578.0
199602,AL,237937.0
199603,AM,219043.0
199604,AP,59299.0
199605,BA,1122898.0
199606,CE,615037.0
199607,DF,657434.0
199608,ES,502496.0
199609,GO,784554.0
199610,MA,229288.0
199611,MG,2778943.0
199612,MS,298121.0
199701,MT,309190.0
199702,PA,374831.0
199703,PB,293520.0
199704,PE,770152.0
199705,PI,101389.0
199706,PR,1872838.0
199707,RJ,2630141.0
199708,RN,177462.0
199709,RO,98073.0
199710,RR,19642.0
199711,RS,1484047.0
199712,SC,1106970.0
199801,SE,236371.0
199802,SP,7357906.0
199803,TO,95722.0
199804,AC,17221.0
199805,AL,236377.0
199806,AM,225822.0
199807,AP,60071.0
199808,BA,1122670.0
199809,CE,610502.0
199810,DF,672486.0
199811,ES,499217.0
199812,GO,798728.0
199901,MA,218943.0
199902,MG,2801820.0
199903,MS,298131.0
199904,MT,311428.0
199905,PA,375759.0
199906,PB,291233.0
199907,PE,768809.0
199908,PI,105717.0
199909,PR,1972034.0
199910,RJ,2660385.0
199911,RN,177163.0
199912,RO,98201.0
200001,RR,21867.0
200002,RS,1489257.0
200003,SC,1106816.0
200004,SE,231587.0
200005,SP,7373649.0
200006,TO,98732.0
200007,AC,17801.0
200008,AL,232778.0
200009,AM,225270.0
200010,AP,59439.0
200011,BA,1132024.0
200012,CE,611261.0
200101,DF,681605.0
200102,ES,495264.0
200103,GO,796920.0
200104,MA,211395.0
200105,MG,2801860.0
200106,MS,296470.0
200107,MT,310490.0
200108,PA,375735.0
200109,PB,291208.0
200110,PE,764561.0
200111,PI,107457.0
200112,PR,2007101.0
200201,RJ,2668406.0
200202,RN,174331.0
200203,RO,97683.0
200204,RR,20482.0
200205,RS,1462399.0
200206,SC,1111991.0
200207,SE,227739.0
200208,SP,7356911.0
200209,TO,99824.0
200210,AC,17472.0
200211,AL,230282.0
200212,AM,230052.0
200301,AP,60368.0
200302,BA,1141902.0
200303,CE,610315.0
200304,DF,685921.0
200305,ES,486381.0
200306,GO,793640.0
200307,MA,202422.0
200308,MG,2820506.0
200309,MS,300001.0
200310,MT,311986.0
200311,PA,378356.0
200312,PB,287918.0
200401,PE,759946.0
200402,PI,110323.0
200403,PR,2037465.0
200404,RJ,2648896.0
200405,RN,170913.0
200406,RO,97373.0
200407,RR,18978.0
200408,RS,1455401.0
200409,SC,1100190.0
200410,SE,223488.0
200411,SP,7317382.0
200412,TO,100355.0
200501,AC,17317.0
200502,AL,231901.0
200503,AM,234945.0
200504,AP,60803.0
200505,BA,1150997.0
200506,CE,602531.0
200507,DF,687521.0
200508,ES,484852.0
200509,GO,801837.0
200510,MA,199996.0
200511,MG,2819012.0
200512,MS,310108.0
200601,MT,312723.0
200602,PA,379650.0
200603,PB,290307.0
200604,PE,767516.0
200605,PI,116410.0
200606,PR,2036820.0
200607,RJ,2617424.0
200608,RN,169039.0
200609,RO,96546.0
200610,RR,18002.0
200611,RS,1448050.0
200612,SC,1087721.0
200701,SE,218251.0
200702,SP,7299904.0
200703,TO,102318.0
200704,AC,17126.0
200705,AL,232451.0
200706,AM,243461.0
200707,AP,58632.0
200708,BA,1150873.0
200709,CE,601316.0
200710,DF,692275.0
200711,ES,487687.0
200712,GO,820194.0
200801,MA,199501.0
200802,MG,2846208.0
200803,MS,315198.0
200804,MT,324423.0
200805,PA,381993.0
200806,PB,292825.0
200807,PE,782584.0
200808,PI,122543.0
200809,PR,2036049.0
200810,RJ,2615175.0
200811,RN,169704.0
200812,RO,97169.0
200901,RR,19577.0
200902,RS,1432057.0
200903,SC,1069486.0
200904,SE,213521.0
200905,SP,7303910.0
