data,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
200201,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200202,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200203,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200204,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200205,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200206,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200207,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200208,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200209,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200210,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200211,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200212,3666.6666666666665,26333.333333333332,47500.0,7083.333333333333,138166.66666666666,74166.66666666667,53000.0,52916.666666666664,109333.33333333333,39250.0,305333.3333333333,35333.333333333336,55666.666666666664,87666.66666666667,32750.0,84500.0,19916.666666666668,181083.33333333334,252000.0,34000.0,15416.666666666666,6500.0,178750.0,140666.66666666666,20416.666666666668,794000.0,20000.0
200301,3260.0,30109.0,28193.0,10392.0,151297.0,81265.0,50047.0,48426.0,97447.0,43342.0,247134.0,33744.0,47470.0,84701.0,38426.0,99743.0,21844.0,189804.0,254362.0,36825.0,13867.0,6920.0,188093.0,142456.0,23616.0,782111.0,17555.0
200302,2191.0,27684.0,31226.0,6857.0,138707.0,65200.0,48110.0,54969.0,97256.0,28663.0,305708.0,32230.0,45387.0,80221.0,31672.0,86997.0,15814.0,174713.0,252842.0,34088.0,10777.0,7476.0,170973.0,135829.0,21357.0,789891.0,14976.0
200303,2154.0,26534.0,33484.0,7011.0,135009.0,55165.0,49006.0,53847.0,101442.0,27900.0,284168.0,33559.0,44907.0,76122.0,28775.0,83033.0,16067.0,180801.0,229385.0,30150.0,13888.0,8659.0,174880.0,133135.0,20059.0,774309.0,13334.0
200304,2643.0,25109.0,31596.0,7122.0,126554.0,53928.0,48445.0,50375.0,98217.0,25739.0,286594.0,34283.0,45467.0,76544.0,28571.0,82302.0,14938.0,180172.0,243407.0,31224.0,11859.0,7259.0,178111.0,144723.0,19920.0,782071.0,15173.0
200305,2546.0,25171.0,32919.0,5267.0,137331.0,65334.0,51436.0,52576.0,112540.0,30203.0,312455.0,36066.0,56246.0,83445.0,31613.0,80217.0,17765.0,185597.0,256535.0,33606.0,14431.0,6786.0,184331.0,150523.0,19962.0,841400.0,18728.0
200306,3040.0,22645.0,32198.0,5539.0,118680.0,64323.0,51884.0,51603.0,109189.0,37590.0,299651.0,35697.0,56126.0,82978.0,26158.0,67240.0,17561.0,169008.0,243236.0,28825.0,12653.0,5555.0,160740.0,128735.0,16202.0,757875.0,18887.0
200307,4963.0,24689.0,37274.0,7714.0,131291.0,80404.0,57034.0,57260.0,118633.0,42741.0,340885.0,40248.0,66358.0,93037.0,32996.0,83181.0,21260.0,191857.0,269774.0,35809.0,15269.0,5060.0,175805.0,154768.0,20057.0,857128.0,20089.0
200308,2924.0,23364.0,37605.0,7740.0,131406.0,78620.0,52525.0,54309.0,115594.0,42427.0,322275.0,36262.0,63712.0,89827.0,31318.0,82075.0,20367.0,180591.0,243189.0,34046.0,18397.0,5241.0,179478.0,142558.0,19484.0,785016.0,22678.0
200309,5276.0,26382.0,38386.0,6882.0,147495.0,79494.0,55603.0,56559.0,122029.0,42993.0,345219.0,34630.0,66987.0,93270.0,34517.0,85846.0,21737.0,176074.0,264695.0,34492.0,22262.0,4794.0,177581.0,144182.0,21679.0,827220.0,24584.0
200310,5262.0,26634.0,39519.0,7066.0,154944.0,85605.0,60077.0,55945.0,126095.0,51235.0,352678.0,36875.0,67214.0,100670.0,36194.0,90177.0,23881.0,191866.0,268955.0,35487.0,18333.0,5781.0,190158.0,152080.0,20556.0,853721.0,26564.0
200311,5041.0,27789.0,39614.0,5797.0,142678.0,84457.0,55040.0,51371.0,112663.0,47963.0,295720.0,33128.0,57793.0,92924.0,33993.0,86905.0,23709.0,172099.0,247368.0,35133.0,18156.0,5236.0,166277.0,139013.0,19390.0,766030.0,22246.0
200312,4303.0,30032.0,36333.0,7706.0,142702.0,94777.0,56634.0,47913.0,100830.0,49930.0,270978.0,30870.0,50908.0,98571.0,38522.0,86156.0,23943.0,165917.0,247521.0,38580.0,15494.0,5516.0,156573.0,119170.0,23029.0,711279.0,24679.0
200401,4105.0,24166.0,34293.0,10000.0,129857.0,75575.0,46442.0,48646.0,93660.0,42076.0,249680.0,36256.0,51972.0,110204.0,31891.0,76341.0,18413.0,185712.45,256494.044,32845.0,13420.0,5752.5,174261.0,135344.0,19642.0,706730.927,19115.0
200402,3898.0,21774.0,48622.852,6136.0,126813.0,53065.0,43234.0,43597.0,85349.0,30183.0,219561.0,33675.0,40729.0,76354.0,26089.0,65040.0,16605.0,170875.0,214974.0,26809.0,11302.0,5006.0,164909.054,127693.0,17778.0,697361.355,22973.0
200403,4209.0,28228.0,34554.525,5122.0,152225.0,67755.0,54587.0,56331.0,116097.0,40701.0,304641.0,43734.0,54446.0,77171.0,32066.0,88306.0,22084.0,204477.0,273646.0,34465.0,16993.0,5470.0,202662.0,151570.0,21180.0,859304.048,30126.0
200404,2994.0,25525.0,57805.072,3926.0,136288.0,64858.0,59228.0,48488.0,120197.0,39783.0,262564.0,36187.0,51788.0,80720.0,26351.0,74323.0,22445.0,173662.0,238045.0,30563.0,16214.0,1513.313,174149.0,137044.0,18824.0,762222.172,29497.0
200405,3720.0,26207.0,39036.0,6197.0,148117.0,72377.0,63997.0,52856.0,122728.0,38903.0,299209.0,33413.0,58702.0,82088.0,27348.0,78114.0,23323.0,162633.0,254860.0,32574.0,15406.0,3705.915,159955.0,134493.0,16535.0,763920.0,29528.0
200406,4275.0,19604.0,55435.6,7552.0,135806.0,70882.0,67774.0,53379.0,134224.0,46111.0,303866.0,39588.0,63281.0,98315.0,25120.0,69976.0,25466.0,190964.95,279415.0,32706.0,19759.0,2891.75,180711.3,150250.0,16196.0,778743.089,40329.0
200407,4699.0,25229.0,56241.96,5796.0,147816.0,85304.0,71340.0,55198.0,132814.0,49146.0,320442.0,42637.0,69737.0,108105.0,27654.0,84203.0,29923.0,193647.0,249081.0,32727.0,20185.0,2796.75,181807.0,149578.0,17425.0,776245.251,40416.0
200408,6416.0,22412.0,58104.524000000005,5979.0,147060.0,82452.0,75288.0,59589.0,138662.0,39027.0,318685.0,44213.0,69819.0,108975.0,28168.0,80313.0,25773.0,214935.0,281405.0,35823.0,19467.0,3319.963,186124.0,164042.0,17576.0,827480.0,36605.0
200409,6427.0,27370.0,41072.0,7271.0,156749.0,80106.0,72595.0,59411.0,149663.0,48068.0,315841.0,42226.0,69265.0,110773.0,34218.0,87563.0,24030.0,197495.0,280430.0,37225.0,18700.0,2351.0,162686.97,148187.0,19227.0,802352.0,43797.0
200410,6386.0,26452.0,55694.057,6552.0,150946.0,79744.0,76992.0,53873.0,150623.0,46069.0,300355.0,36618.0,64352.0,110954.0,30440.0,80640.0,21724.0,184957.0,248861.0,33551.0,22264.0,2124.75,179882.59,151102.0,17655.0,718557.0,37795.0
200411,5591.0,26598.0,44211.0,8809.0,142002.0,83228.0,74060.0,54406.0,144087.0,50343.0,297717.0,37872.0,66547.0,117382.0,30988.0,78585.0,23003.0,197165.0,266398.0,35805.0,14075.0,1654.0,172935.0,154958.0,19516.0,738600.0,35968.0
200412,5422.0,30970.0,62309.776,6668.0,159878.0,101817.0,65679.0,50885.0,126835.0,60595.0,260237.0,39746.0,56044.0,112122.0,34230.0,87633.0,23922.0,183387.0,248921.0,39511.0,21219.0,3188.0,176633.0,135844.0,20509.0,716803.0,31277.0
200501,5807.0,29095.0,39696.0,9759.0,139997.0,91341.0,62294.0,56490.0,121831.0,56124.0,268591.0,33550.0,55998.0,115365.0,32450.0,84896.0,19758.0,172044.0,246602.0,38146.0,21211.0,2928.0,168412.0,134837.0,18244.0,656269.0,29644.0
200502,5242.0,25241.0,56004.937999999995,4782.0,111865.0,69730.0,55247.0,53578.0,115210.0,39810.0,246372.0,33682.0,49346.0,90229.0,27763.0,81240.0,19763.0,188841.0,237093.0,30350.0,15823.0,2118.0,153593.111,136495.0,18161.0,745154.0,25375.0
200503,4965.0,29040.0,39376.0,7803.0,159603.0,77682.0,65908.0,60481.0,122721.0,44937.0,292439.0,40149.0,57277.0,87897.0,30131.0,100925.0,22445.0,200253.0,270163.0,33791.0,15195.0,2876.0,166196.0,154807.0,23259.0,788618.0,25608.0
200504,5854.0,25685.0,59327.426,4400.0,142063.0,66140.0,67387.0,64833.0,130262.0,41661.0,310034.0,39205.0,61881.0,96273.0,27103.0,83152.0,20109.0,188916.0,263941.0,30891.0,15479.0,3091.0,150226.0,146582.0,19137.0,790169.0,30043.0
200505,5892.0,21197.0,40816.0,4460.0,137144.0,76289.0,68730.0,64063.0,139268.0,47350.0,322741.0,38897.0,65040.0,97686.0,28053.0,81128.0,24283.0,184994.0,273825.0,30724.0,18536.0,2684.0,154220.0,149537.0,15066.0,791663.1,28702.0
200506,7760.0,20299.0,58167.288,10613.0,122740.0,80340.0,74797.0,66518.0,152638.0,50153.0,360513.0,40481.0,68127.0,108413.0,21631.0,64348.0,24792.0,192629.0,284813.0,29836.0,22600.0,1466.0,163261.0,165664.0,17048.0,837181.0,36483.0
200507,7484.0,22784.0,46075.0,7421.0,124170.0,93393.0,70102.0,65453.0,150876.0,53112.0,359804.0,41787.0,60123.0,107399.0,28751.0,81509.0,26903.0,184723.0,267064.0,39965.0,17735.0,3161.0,161492.0,162223.0,17748.0,818964.1,33900.0
200508,8048.0,23659.0,61321.4,11699.0,160949.0,91998.0,93050.0,76604.0,176088.0,51788.0,406893.0,51050.0,77077.0,131490.0,29638.0,65400.0,25702.0,203175.0,321431.0,39549.0,23933.0,2107.0,173938.0,165871.0,20650.0,914839.0,49981.0
200509,7794.0,23770.0,49763.0,9440.0,145708.0,81500.0,80334.0,68541.0,165396.0,46690.0,397527.0,40518.0,65579.0,112652.0,29640.0,73556.0,19939.0,169242.0,280468.0,40932.0,21268.0,2674.0,154493.0,146298.0,17941.0,842283.25,46402.0
200510,8792.0,25386.0,59289.95,7688.0,138694.0,81596.0,82226.0,64374.0,162546.0,45263.0,406354.0,37686.0,63093.0,108883.0,29790.0,82506.0,21902.0,166786.0,292837.0,44399.0,22834.0,2351.0,153438.0,151753.0,16431.0,813976.4,42995.0
200511,6725.0,26776.0,58858.12,11977.0,129206.0,80195.0,74666.0,62128.0,156234.0,44122.0,375773.0,41135.0,64380.0,106626.0,34715.0,79647.0,21556.0,196534.0,304782.0,43484.0,19522.0,2327.0,185306.0,160162.0,17995.0,902902.15,42388.0
200512,6551.0,33636.0,44592.0,14155.0,155862.0,95958.0,60790.0,65904.0,123830.0,58448.0,357530.0,41341.0,49713.0,102069.0,45400.0,101349.0,25612.0,177285.0,281310.0,48074.0,18921.0,2396.0,181484.0,150421.0,20117.0,822704.0,39682.0
200601,7192.0,30849.0,51658.0,6912.0,146547.0,93559.0,69054.0,62346.0,147233.0,60434.0,425400.0,43106.0,55489.0,93022.0,42579.0,106786.0,25712.0,184040.0,301206.0,45289.0,15232.0,3458.0,170928.0,154694.0,18774.0,851312.1,37092.0
