index,estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg
167,AC,1998-12-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.05,1.65,0.98,0.1079297273,0.645,0.574,0.176,1.84,5656166.83373705,8.5355097927,,,,
168,AC,1999-01-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.55,0.7,1.15,0.10778705,0.645,0.574,0.176,1.96,5792486.58779421,12.2034370881,,,,
169,AC,1999-02-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.98,1.76,4.44,0.1306885556,0.645,0.574,0.176,2.04,5792486.58779421,12.2034370881,,,,
170,AC,1999-03-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.55,2.88,1.98,0.1427163043,0.645,0.574,0.176,2.01,5792486.58779421,12.2034370881,,,,
171,AC,1999-04-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.52,3.45,0.03,0.122454,0.645,0.574,0.176,2.1,5792486.58779421,12.2034370881,,,,
172,AC,1999-05-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.86,3.76,-0.34,0.09522309524,0.645,0.574,0.176,2.11,5792486.58779421,12.2034370881,,,,
173,AC,1999-06-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.41,3.96,1.02,0.07898585714,0.645,0.574,0.176,2.11,5792486.58779421,12.2034370881,,,,
174,AC,1999-07-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.46,5.09,1.59,0.07480781818,0.645,0.574,0.176,2.14,5792486.58779421,12.2034370881,,,,
175,AC,1999-08-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.69,5.68,1.45,0.070766,0.645,0.574,0.176,2.31,5792486.58779421,12.2034370881,,,,
176,AC,1999-09-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.86,6.01,1.47,0.0703197619,0.645,0.574,0.176,2.29,5792486.58779421,12.2034370881,,,,
177,AC,1999-10-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,1.01,7.27,1.89,0.068744,0.645,0.574,0.176,2.29,5792486.58779421,12.2034370881,,,,
178,AC,1999-11-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,0.91,8.29,2.53,0.06887245,0.645,0.574,0.176,2.42,5792486.58779421,12.2034370881,,,,
179,AC,1999-12-01,387455.53057122,155545.193,0.6920727243333333,329658.849401819,527937.0,1.04,8.94,1.23,0.06902247826,0.645,0.574,0.176,2.81,5792486.58779421,12.2034370881,,,,
180,AC,2000-01-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,1.07,0.62,1.02,0.06884457143,0.694,0.612,0.325,2.65,5899305.42246968,12.2034370881,,,,
181,AC,2000-02-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.77,0.75,0.19,0.06861733333,0.694,0.612,0.325,2.62,5899305.42246968,12.2034370881,,,,
182,AC,2000-03-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.56,0.97,0.18,0.06854066667,0.694,0.612,0.325,2.54,5899305.42246968,12.2034370881,,,,
183,AC,2000-04-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.6,1.4,0.13,0.06777742105,0.694,0.612,0.325,2.41,5899305.42246968,12.2034370881,,,,
184,AC,2000-05-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,1.35,1.41,0.67,0.06742340909,0.694,0.612,0.325,2.33,5899305.42246968,12.2034370881,,,,
185,AC,2000-06-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.73,1.64,0.93,0.06583842857,0.694,0.612,0.325,2.25,5899305.42246968,12.2034370881,,,,
186,AC,2000-07-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.3,3.28,2.26,0.06180695238,0.694,0.612,0.325,2.22,5899305.42246968,12.2034370881,,,,
187,AC,2000-08-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.39,4.63,1.82,0.06069895652,0.694,0.612,0.325,2.3,5899305.42246968,12.2034370881,,,,
188,AC,2000-09-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.26,4.87,0.69,0.0608283,0.694,0.612,0.325,2.42,5899305.42246968,12.2034370881,,,,
189,AC,2000-10-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.33,5.02,0.37,0.06095,0.694,0.612,0.325,2.32,5899305.42246968,12.2034370881,,,,
190,AC,2000-11-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.41,5.35,0.39,0.0606442,0.694,0.612,0.325,2.1,5899305.42246968,12.2034370881,,,,
191,AC,2000-12-01,403375.46572704916,179523.7070833333,0.7000336080416667,352494.55279601,557882.0,0.64,5.97,0.76,0.05957005,0.694,0.612,0.325,1.91,5899305.42246968,12.2034370881,,,,
192,AC,2001-01-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.58,0.57,0.49,0.05715877273,0.694,0.612,0.325,1.81,6000846.22352563,8.5581230842,,,,
193,AC,2001-02-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.34,1.03,0.34,0.05616633333,0.694,0.612,0.325,1.67,6000846.22352563,8.5581230842,,,,
194,AC,2001-03-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.27,1.42,0.8,0.05683477273,0.694,0.612,0.325,1.66,6000846.22352563,8.5581230842,,,,
195,AC,2001-04-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.36,2.0,1.13,0.05898695,0.694,0.612,0.325,1.7,6000846.22352563,8.5581230842,,,,
196,AC,2001-05-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,2.11,2.42,0.44,0.06037795455,0.694,0.612,0.325,1.89,6000846.22352563,8.5581230842,,,,
197,AC,2001-06-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,1.16,2.96,1.46,0.0632839,0.694,0.612,0.325,1.89,6000846.22352563,8.5581230842,,,,
198,AC,2001-07-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.52,4.32,1.62,0.067608,0.694,0.612,0.325,1.96,6000846.22352563,8.5581230842,,,,
199,AC,2001-08-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.62,5.06,0.9,0.06903843478,0.694,0.612,0.325,1.88,6000846.22352563,8.5581230842,,,,
200,AC,2001-09-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.55,5.35,0.38,0.06926705263,0.694,0.612,0.325,1.81,6000846.22352563,8.5581230842,,,,
201,AC,2001-10-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.93,6.22,1.45,0.06926381818,0.694,0.612,0.325,1.88,6000846.22352563,8.5581230842,,,,
202,AC,2001-11-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.74,6.98,0.76,0.0692149,0.694,0.612,0.325,2.01,6000846.22352563,8.5581230842,,,,
203,AC,2001-12-01,418705.4455778108,206264.12466666664,0.7064373976333332,375036.031845054,574355.0,0.34,7.67,0.18,0.06922,0.694,0.612,0.325,1.84,6000846.22352563,8.5581230842,,,,
204,AC,2002-01-01,434223.35296380916,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.36,0.52,0.19,0.06922,0.694,0.612,0.325,1.9,6098524.41582601,6.5827877908,,,,
205,AC,2002-02-01,434223.35296380916,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.58,0.88,0.18,0.06893983333,0.694,0.612,0.325,1.79,6098524.41582601,6.5827877908,,,,
