estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg,consumo
SE,2016-04-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.64,2.62,0.43,0.052531,0.79,0.672,0.64,1.67,7806241.86849827,8.1,-999.0,105.26690408928138,19.495,0.3899,51989.0
SE,2016-05-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.55,3.25,0.36,0.052531,0.79,0.672,0.64,1.63,7806241.86849827,8.3,-999.0,108.75402604431764,19.39,0.3878,48826.0
SE,2016-06-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.08,4.05,1.13,0.052531,0.79,0.672,0.64,1.62,7806241.86849827,8.4,-999.0,113.01700233164838,20.0,0.4,45065.0
SE,2016-07-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,1.93,4.42,1.63,0.052531,0.79,0.672,0.64,1.64,7806241.86849827,8.7,-999.0,116.8061482508943,20.0,0.4,46401.0
SE,2016-08-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.49,4.96,-0.39,0.052531,0.79,0.672,0.64,1.66,7806241.86849827,8.9,-999.0,123.6427284846388,20.25,0.405,44125.0
SE,2016-09-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.29,5.42,0.43,0.052531,0.79,0.672,0.64,1.61,7806241.86849827,9.0,-999.0,118.39257025664364,19.0,0.38,41639.0
SE,2016-10-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.33,5.51,0.03,0.052531,0.79,0.672,0.64,1.62,7806241.86849827,9.1,-999.0,116.663595763909,18.995,0.3799,41987.0
SE,2016-11-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.21,5.78,0.13,0.0521826,0.79,0.672,0.64,1.52,7806241.86849827,9.1,-999.0,119.27761708432143,19.0,0.38,45587.0
SE,2016-12-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.16,5.97,0.05,0.05166,0.79,0.672,0.64,1.41,7806241.86849827,9.1,-999.0,113.70334796515893,19.0,0.38,47599.0
SE,2017-01-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.35,6.29,0.83,0.050788,0.8,0.69,0.63,1.25,7806241.86849827,9.6,-999.0,113.35608590655714,19.0,0.38,44274.0
SE,2017-02-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.41,0.38,0.43,0.049115,0.8,0.69,0.63,1.2,7820758.2968949,10.3,-999.0,125.13259789492844,20.0,0.4,37579.0
SE,2017-03-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.65,0.71,0.06,0.047865,0.8,0.69,0.63,1.07,7820758.2968949,11.1,80421.0,122.41501194620182,19.0,0.38,48016.0
SE,2017-04-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.16,0.96,-0.38,0.045513,0.8,0.69,0.63,1.02,7820758.2968949,11.3,251523.0,125.0027800017792,19.55,0.391,38263.0
SE,2017-05-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,-0.02,1.1,-1.24,0.04353744444,0.8,0.69,0.63,1.0,7820758.2968949,11.3,139469.0,124.67427561198988,19.55,0.391,40413.0
SE,2017-06-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.63,1.42,-0.51,0.041957,0.8,0.69,0.63,0.93,7820758.2968949,11.4,61834.0,112.78983475241186,18.1,0.362,34053.0
SE,2017-07-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.93,1.18,-0.96,0.03837,0.8,0.69,0.63,0.86,7820758.2968949,11.7,450332.0,109.85120522754168,18.1,0.362,36174.0
SE,2017-08-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.3,1.43,-0.3,0.03785271429,0.8,0.69,0.63,0.75,7820758.2968949,11.9,121416.0,116.02744141074636,18.6,0.372,38394.0
SE,2017-09-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.36,1.62,0.24,0.034749,0.8,0.69,0.63,0.7,7820758.2968949,11.9,16112.0,118.06085460273133,18.6,0.372,35688.0
SE,2017-10-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.06,1.78,0.62,0.0318266,0.8,0.69,0.63,0.65,7820758.2968949,11.9,122724.0,121.22024122828006,19.0,0.38,42076.0
SE,2017-11-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.31,2.21,0.1,0.03056971429,0.8,0.69,0.63,0.65,7820758.2968949,12.0,-999.0,119.07639690938556,19.0,0.38,39875.0
SE,2017-12-01,1837171.1375239,2895991.746819975,0.8108342153083333,1727121.62020471,2265779.0,0.31,2.5,0.8,0.028333,0.8,0.69,0.63,0.65,7820758.2968949,12.2,138179.0,113.51852192748314,18.5,0.37,38984.0
SE,2018-01-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.07,2.95,0.74,0.0268514,0.8,0.68,0.64,0.71,7820758.2968949,12.7,58592.0,112.39658375140304,18.5,0.37,41652.0
SE,2018-02-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.31,0.29,0.58,0.026481,0.8,0.68,0.64,0.68,7813724.30644261,13.3,-999.0,130.81629937111904,21.0,0.42,33904.0
SE,2018-03-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.13,0.61,0.15,0.02581005556,0.8,0.68,0.64,0.71,7813724.30644261,13.9,74845.0,129.56964368347985,21.0,0.42,29447.0
SE,2018-04-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.24,0.7,0.56,0.02528571429,0.8,0.68,0.64,0.69,7813724.30644261,13.7,224847.0,128.0794615434882,21.0,0.42,29197.0
SE,2018-05-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.29,0.92,0.93,0.02462,0.8,0.68,0.64,0.74,7813724.30644261,13.4,161376.0,123.25769242594058,21.0,0.42,26297.0
SE,2018-06-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.23,1.33,1.64,0.02462,0.8,0.68,0.64,0.73,7813724.30644261,13.1,32955.0,112.75950401533844,20.5,0.41,29209.0
SE,2018-07-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.97,2.6,1.48,0.02462,0.8,0.68,0.64,0.75,7813724.30644261,12.9,497653.0,111.31219663640287,21.0,0.42,28158.0
SE,2018-08-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.61,2.94,0.44,0.02462,0.8,0.68,0.64,0.77,7813724.30644261,12.7,85030.0,112.30779458833136,21.5,0.43,31132.0
SE,2018-09-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.15,2.85,0.68,0.02462,0.8,0.68,0.64,0.84,7813724.30644261,12.5,-999.0,111.96622425993866,22.0,0.44,30195.0
SE,2018-10-01,1857381.0483299752,3034346.3068502,0.8117512610083333,1411031.2734007,2288116.0,0.23,3.34,1.79,0.02462,0.8,0.68,0.64,0.87,7813724.30644261,12.3,108500.0,106.88568856885688,22.0,0.44,31537.0
