data;estados;consumo;y_pred
2014-03-01;AL;70339,0;
2014-04-01;AL;68117,0;
2014-05-01;AL;60946,0;
2014-06-01;AL;55187,0;
2014-07-01;AL;62205,0;
2014-08-01;AL;58804,0;
2014-09-01;AL;63077,0;
2014-10-01;AL;68577,0;
2014-11-01;AL;72559,0;
2014-12-01;AL;62390,0;
2015-01-01;AL;57164,0;
2015-02-01;AL;65022,0;
2015-03-01;AL;65016,0;
2015-04-01;AL;53814,0;
2015-05-01;AL;49929,0;
2015-06-01;AL;41744,0;
2015-07-01;AL;44337,0;
2015-08-01;AL;49858,0;
2015-09-01;AL;51149,0;
2015-10-01;AL;52656,0;
2015-11-01;AL;42501,0;
2015-12-01;AL;39137,0;
2016-01-01;AL;38458,0;
2016-02-01;AL;40282,0;
2016-03-01;AL;44091,0;
2016-04-01;AL;39374,0;
2016-05-01;AL;40904,0;
2016-06-01;AL;38419,0;
2016-07-01;AL;39849,0;
2016-08-01;AL;38757,0;
2016-09-01;AL;37084,0;
2016-10-01;AL;35353,0;
2016-11-01;AL;38823,0;
2016-12-01;AL;40483,0;
2017-01-01;AL;38666,0;
2017-02-01;AL;32321,0;
2017-03-01;AL;41937,0;
2017-04-01;AL;31982,0;
2017-05-01;AL;28499,0;
2017-06-01;AL;22626,0;
2017-07-01;AL;21340,0;51091,842603301135
2017-08-01;AL;26848,0;61787,600963273755
2017-09-01;AL;28074,0;51356,10702410963
2017-10-01;AL;29941,0;51728,06759309475
2017-11-01;AL;28977,0;50265,09743384304
2017-12-01;AL;31580,0;46914,47964620782
2018-01-01;AL;29991,0;51948,99636553932
2018-02-01;AL;26820,0;51717,98056091016
2018-03-01;AL;29446,0;50437,43842283136
2018-04-01;AL;27666,0;52836,57482003921
2018-05-01;AL;22013,0;55050,74793696118
2018-06-01;AL;28025,0;50657,40402464362
2018-07-01;AL;25648,0;49349,77575109445
2018-08-01;AL;31782,0;59684,351884346164
2018-09-01;AL;27768,0;50324,11655738752
2018-10-01;AL;33073,0;50739,29413698544
2018-11-01;AL;30389,0;49154,05915687006
2018-12-01;AL;27657,0;47744,334516256844
2019-01-01;AL;32388,0;46216,07712998829
2019-02-01;AL;30378,0;48568,6273485969
2019-03-01;AL;30641,0;47220,522650355764
2019-04-01;AL;32337,0;48422,702593097085
2019-05-01;AL;36405,0;49944,30488029111
2019-06-01;AL;22499,0;45821,31896563666
2019-07-01;AL;27961,0;46979,48073744419
2019-08-01;AL;32378,0;58434,7935718495
2019-09-01;AL;32582,0;47189,43471836808
2019-10-01;AL;42703,0;50409,68340220745
2019-11-01;AL;38584,0;48256,298708527116
2019-12-01;AL;36503,0;44968,45098331047
2003-01-01;AM;28193,0;
2003-02-01;AM;31226,0;
2003-03-01;AM;33484,0;
2003-04-01;AM;31596,0;
2003-05-01;AM;32919,0;
2003-06-01;AM;32198,0;
2003-07-01;AM;37274,0;
2003-08-01;AM;37605,0;
2003-09-01;AM;38386,0;
2003-10-01;AM;39519,0;
2003-11-01;AM;39614,0;
2003-12-01;AM;36333,0;
2004-01-01;AM;34293,0;
2004-02-01;AM;48622,852;
2004-03-01;AM;34554,525;
2004-04-01;AM;57805,072;
