,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Estado,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
200108,65750,345417,93417,557583,1960500,1088167,747250,730833,1481417,553833,686500,487833,4225833,1066083,507833,2285833,1261167,280583,3481833,488167,2118083,229667,72417,1805583,11044333,246583,240500
200109,65000,347333,95333,559667,1958000,1087333,745000,725667,1482333,556667,693000,489667,4212667,1066667,507667,2292667,1260333,282667,3471667,484333,2120667,232333,71333,1807667,11012667,250667,239000
200110,64250,349250,97250,561750,1955500,1086500,742750,720500,1483250,559500,699500,491500,4199500,1067250,507500,2299500,1259500,284750,3461500,480500,2123250,235000,70250,1809750,10981000,254750,237500
200111,63500,351167,99167,563833,1953000,1085667,740500,715333,1484167,562333,706000,493333,4186333,1067833,507333,2306333,1258667,286833,3451333,476667,2125833,237667,69167,1811833,10949333,258833,236000
200112,62750,353083,101083,565917,1950500,1084833,738250,710167,1485083,565167,712500,495167,4173167,1068417,507167,2313167,1257833,288917,3441167,472833,2128417,240333,68083,1813917,10917667,262917,234500
200201,62000,355000,103000,568000,1948000,1084000,736000,705000,1486000,568000,719000,497000,4160000,1069000,507000,2320000,1257000,291000,3431000,469000,2131000,243000,67000,1816000,10886000,267000,233000
200202,60093,355526,104809,548860,1936964,1074932,724714,694676,1459614,564009,706553,489327,4060467,1064618,503176,2316471,1251993,288594,3399445,466742,2141510,236617,68337,1807123,10760944,268366,231138
200203,57118,353626,103082,532752,1913337,1049798,711490,690895,1433036,545338,692024,480141,4019509,1055755,492598,2297850,1234240,280158,3366371,461746,2134899,227144,70229,1791618,10643669,267473,226698
200204,54105,350577,101510,518903,1886013,1014630,699163,685992,1410645,525905,677014,472283,3957010,1042794,479123,2285318,1212523,271975,3309839,452813,2132196,220782,73305,1773420,10510811,265282,220615
200205,51581,346103,100049,503166,1850234,978225,686275,677617,1385029,504311,662564,465149,3896937,1030255,465444,2272157,1190075,262663,3267329,444954,2132724,212391,74981,1766810,10385715,262952,216371
200206,48961,341690,96732,488751,1825231,953225,676377,671443,1373735,487180,658894,459799,3862726,1024616,454807,2264420,1165542,256178,3237948,439476,2139471,206572,76183,1765999,10319949,260664,215683
200207,46834,334752,93688,473616,1781578,927215,666928,664296,1359091,477437,655103,454079,3815710,1018511,438715,2240095,1128032,249489,3195267,429218,2122628,198975,76155,1743401,10170657,254616,215153
